Source,Target,Weight,Effect,Strength
W_Complete application,O_Refused,1.0,Promote,1.0
W_Handle leads,O_Refused,0.7376213425616344,Promote,0.7376213425616344
W_Handle leads,W_Validate application,-0.5798210279120911,Inhibit,0.5798210279120911
W_Call after offers,W_Validate application,0.5282435889167105,Promote,0.5282435889167105
A_Create Application,O_Refused,0.4874287790843683,Promote,0.4874287790843683
W_Call after offers,A_Complete,-0.37344822604754013,Inhibit,0.37344822604754013
W_Complete application,W_Validate application,-0.36882405148176345,Inhibit,0.36882405148176345
O_Create Offer,O_Refused,-0.36756135386952243,Inhibit,0.36756135386952243
A_Pending,W_Validate application,0.35945311346376424,Promote,0.35945311346376424
A_Accepted,O_Refused,-0.33848234928361154,Inhibit,0.33848234928361154
W_Validate application,W_Validate application,0.3121899183432236,Promote,0.3121899183432236
W_Complete application,A_Accepted,-0.29849308501947497,Inhibit,0.29849308501947497
A_Submitted,O_Sent (online only),0.2852755846195616,Promote,0.2852755846195616
A_Concept,A_Validating,-0.2673652896611448,Inhibit,0.2673652896611448
W_Complete application,A_Validating,-0.25565983779212437,Inhibit,0.25565983779212437
A_Create Application,A_Validating,-0.22012246579708752,Inhibit,0.22012246579708752
A_Concept,A_Concept,0.2195507530704697,Promote,0.2195507530704697
A_Create Application,A_Concept,-0.21857440781928011,Inhibit,0.21857440781928011
W_Handle leads,A_Accepted,-0.21563068304881516,Inhibit,0.21563068304881516
O_Sent (mail and online),A_Accepted,0.21225783856826025,Promote,0.21225783856826025
A_Submitted,O_Refused,-0.18778270405723363,Inhibit,0.18778270405723363
W_Call incomplete files,A_Validating,0.1877699056019988,Promote,0.1877699056019988
W_Complete application,A_Pending,-0.18045740028060497,Inhibit,0.18045740028060497
O_Create Offer,A_Denied,-0.1775174411843213,Inhibit,0.1775174411843213
W_Call after offers,O_Refused,0.16744998735099895,Promote,0.16744998735099895
W_Call after offers,W_Assess potential fraud,-0.16735864312411838,Inhibit,0.16735864312411838
A_Submitted,W_Validate application,0.16385430989563982,Promote,0.16385430989563982
A_Submitted,A_Validating,0.16231077567970822,Promote,0.16231077567970822
W_Handle leads,O_Sent (online only),0.15725890784816354,Promote,0.15725890784816354
W_Validate application,A_Validating,-0.15523005948712953,Inhibit,0.15523005948712953
W_Complete application,A_Denied,0.15377580859260995,Promote,0.15377580859260995
O_Sent (mail and online),A_Validating,-0.15073078945415955,Inhibit,0.15073078945415955
O_Create Offer,A_Validating,0.14965439700724342,Promote,0.14965439700724342
W_Call incomplete files,A_Concept,-0.1442909477706467,Inhibit,0.1442909477706467
A_Create Application,O_Sent (online only),0.14296845397849314,Promote,0.14296845397849314
O_Create Offer,W_Assess potential fraud,0.13088075781124806,Promote,0.13088075781124806
W_Call after offers,A_Pending,-0.12810303702527814,Inhibit,0.12810303702527814
A_Pending,A_Concept,-0.12131230243422615,Inhibit,0.12131230243422615
A_Complete,A_Accepted,0.1122959890287176,Promote,0.1122959890287176
O_Sent (mail and online),O_Sent (online only),0.1094795471790894,Promote,0.1094795471790894
W_Call incomplete files,W_Validate application,0.10927508775259752,Promote,0.10927508775259752
W_Handle leads,A_Validating,-0.108443901140284,Inhibit,0.108443901140284
W_Complete application,A_Concept,0.1079359858119183,Promote,0.1079359858119183
O_Created,A_Validating,0.10384286845125804,Promote,0.10384286845125804
W_Complete application,O_Cancelled,-0.10364915198831198,Inhibit,0.10364915198831198
W_Call after offers,A_Concept,0.10019168026269414,Promote,0.10019168026269414
A_Concept,O_Refused,0.0977924833723678,Promote,0.0977924833723678
O_Returned,W_Validate application,-0.09685555948666577,Inhibit,0.09685555948666577
A_Complete,A_Denied,0.09521101757443344,Promote,0.09521101757443344
W_Call after offers,O_Sent (online only),-0.09505206198319231,Inhibit,0.09505206198319231
A_Validating,A_Validating,-0.09426972382735084,Inhibit,0.09426972382735084
W_Validate application,A_Concept,0.08782252413949933,Promote,0.08782252413949933
W_Validate application,O_Sent (online only),-0.08772726873375257,Inhibit,0.08772726873375257
W_Validate application,O_Refused,0.08719965661635967,Promote,0.08719965661635967
W_Call incomplete files,W_Assess potential fraud,-0.0863938821158664,Inhibit,0.0863938821158664
A_Complete,W_Assess potential fraud,-0.08603894691990156,Inhibit,0.08603894691990156
O_Create Offer,A_Complete,-0.08540898175158405,Inhibit,0.08540898175158405
O_Sent (mail and online),W_Assess potential fraud,-0.08349593774257563,Inhibit,0.08349593774257563
A_Incomplete,W_Validate application,0.08294204810379413,Promote,0.08294204810379413
A_Complete,A_Pending,-0.08160626452396992,Inhibit,0.08160626452396992
O_Returned,A_Denied,0.08118474331370551,Promote,0.08118474331370551
A_Validating,W_Validate application,0.08116407192619064,Promote,0.08116407192619064
O_Sent (mail and online),A_Pending,-0.08092224494379058,Inhibit,0.08092224494379058
O_Create Offer,A_Concept,-0.07878087368664578,Inhibit,0.07878087368664578
A_Submitted,A_Complete,-0.07815271637766587,Inhibit,0.07815271637766587
A_Submitted,A_Denied,-0.07721313490667109,Inhibit,0.07721313490667109
W_Call after offers,A_Denied,-0.07545584512334803,Inhibit,0.07545584512334803
W_Validate application,A_Pending,-0.07532238710620255,Inhibit,0.07532238710620255
A_Create Application,W_Validate application,0.074705149102822,Promote,0.074705149102822
O_Create Offer,A_Accepted,0.07379191213757536,Promote,0.07379191213757536
A_Complete,O_Refused,0.07288651752855693,Promote,0.07288651752855693
O_Cancelled,A_Validating,-0.07228798535735176,Inhibit,0.07228798535735176
A_Validating,A_Concept,-0.07125418653592593,Inhibit,0.07125418653592593
A_Concept,W_Validate application,-0.07107423072769353,Inhibit,0.07107423072769353
O_Cancelled,O_Sent (online only),0.0699445985569183,Promote,0.0699445985569183
O_Returned,A_Accepted,0.06952512802201692,Promote,0.06952512802201692
O_Accepted,A_Concept,-0.06904331700094904,Inhibit,0.06904331700094904
W_Call after offers,A_Validating,0.06839240893515934,Promote,0.06839240893515934
O_Sent (mail and online),O_Refused,0.068390294123075,Promote,0.068390294123075
A_Submitted,O_Returned,-0.06758765640751198,Inhibit,0.06758765640751198
A_Accepted,A_Concept,-0.06626696945442592,Inhibit,0.06626696945442592
O_Cancelled,A_Concept,0.06440308419041003,Promote,0.06440308419041003
A_Create Application,A_Accepted,-0.06159023349373013,Inhibit,0.06159023349373013
A_Concept,A_Accepted,-0.06003792202756661,Inhibit,0.06003792202756661
A_Concept,O_Sent (online only),-0.06002278515295356,Inhibit,0.06002278515295356
A_Complete,A_Validating,-0.056835076240635336,Inhibit,0.056835076240635336
A_Cancelled,W_Validate application,0.056592213062759085,Promote,0.056592213062759085
O_Created,O_Refused,-0.05589790062430887,Inhibit,0.05589790062430887
W_Call after offers,A_Accepted,0.05586647759077266,Promote,0.05586647759077266
A_Cancelled,A_Concept,-0.05482135541313096,Inhibit,0.05482135541313096
O_Create Offer,O_Cancelled,0.054691878531495534,Promote,0.054691878531495534
W_Handle leads,A_Concept,-0.05353634919391328,Inhibit,0.05353634919391328
O_Create Offer,O_Returned,0.05309963179810569,Promote,0.05309963179810569
O_Cancelled,W_Validate application,-0.05275961489010659,Inhibit,0.05275961489010659
A_Submitted,A_Pending,-0.05179421883544538,Inhibit,0.05179421883544538
W_Handle leads,A_Denied,-0.05053963098034894,Inhibit,0.05053963098034894
A_Validating,O_Refused,0.04884083824487933,Promote,0.04884083824487933
O_Create Offer,A_Incomplete,0.04815094114054402,Promote,0.04815094114054402
W_Complete application,O_Sent (online only),-0.04805679521628529,Inhibit,0.04805679521628529
A_Concept,O_Returned,0.047463027328418984,Promote,0.047463027328418984
O_Accepted,W_Validate application,-0.045793075033577726,Inhibit,0.045793075033577726
A_Incomplete,W_Assess potential fraud,-0.04548352431201348,Inhibit,0.04548352431201348
A_Create Application,O_Returned,0.04542939457231129,Promote,0.04542939457231129
A_Incomplete,A_Complete,-0.04510402392807951,Inhibit,0.04510402392807951
A_Concept,A_Complete,0.04359897972360239,Promote,0.04359897972360239
W_Call incomplete files,A_Complete,-0.04316698854215305,Inhibit,0.04316698854215305
O_Create Offer,O_Sent (online only),-0.04258494029209749,Inhibit,0.04258494029209749
A_Concept,A_Cancelled,0.04235242162389976,Promote,0.04235242162389976
A_Accepted,O_Returned,0.04189862711492707,Promote,0.04189862711492707
O_Create Offer,A_Pending,0.04037119077106631,Promote,0.04037119077106631
A_Validating,A_Complete,-0.04034142523410708,Inhibit,0.04034142523410708
W_Call incomplete files,O_Sent (online only),0.03964505104055799,Promote,0.03964505104055799
O_Created,A_Denied,-0.03961723402199917,Inhibit,0.03961723402199917
A_Validating,W_Assess potential fraud,0.0395888237109073,Promote,0.0395888237109073
A_Complete,A_Create Application,0.03865225170887058,Promote,0.03865225170887058
A_Cancelled,W_Assess potential fraud,0.03812602085735678,Promote,0.03812602085735678
A_Submitted,O_Cancelled,0.03808514755113457,Promote,0.03808514755113457
O_Returned,W_Assess potential fraud,-0.038074133396585226,Inhibit,0.038074133396585226
A_Pending,W_Assess potential fraud,-0.03772581545209545,Inhibit,0.03772581545209545
